VENDOR,PART NUMBER,DESCRIPTION,MARKET PRICE (EUR),LAST FOUND LIST PRICE (USD),Weight,Dimension ,Remarks
HUAWEI,03030PCB,CR5D00P4CF70,,,,,
HUAWEI,03030PGE,TD20,€0.0,$0.00,,,
HUAWEI,03030PGR,ANDD000FAN03 ATN 950B - and1FAN03,€54.8,$0.00,,,
HUAWEI,03030PHD,8 CHANNEL OPTICAL POWER MONITOR BOARD,,,,,
HUAWEI,03030PLN,CR5D00SP8010 Versatile Service Flexible Card (SP80) NE40E-X8,,,,,
HUAWEI,03030PLX,CR5D00A8CF70 NE40E 8-Port OC-3c/STM-1c ATM-SFP Flexible Card,€547.6,$0.00,,,
HUAWEI,03030PMA,CR5D0EFGFA70 24-Port 100/1000Base-X-SFP Flexible Card A(P51-A),,,,,
HUAWEI,03030PME,"CR5D0L2XFA71 NE40E-X8A 2-Port 10GBase LAN/WAN-SFP+ Flexible Card A(P51-A).
",€164.3,$0.00,,,
HUAWEI,03030PMN,CR5D0EFGFA71 24-Port 100/1000Base-X-SFP Flexible Card A(P101-A) NE40E-X8,€213.6,$0.00,,,
HUAWEI,03030PTB,CR5D00C8CF71 8-Port Channelized STM-1c POS-SFP Flexible Card(P50).,,,,,
HUAWEI,03030PVG,CR5D00C4CF70 4-Port Channelized STM-1c POS-SFP Flexible Card(P50) NE40E-X8,€164.3,$0.00,,,
HUAWEI,03030QAE,CX600-16 CR51NPU500,€0.0,$0.00,,,
HUAWEI,03030QAS,CR5D00PSUC70 DC Power Supply Unit 1200W,€109.5,$0.00,,,
HUAWEI,03030QBJ,CR5D00L2XF70 2x10GE-SFP+ Routers,,,,,
HUAWEI,03030QBK,CR5D00E8GF71 03030QBK NE40E 8-Port 100/1000Base-X Interface Card,€273.8,$0.00,,,
HUAWEI,03030QBL,NETENGINE40E -CR51E8GEB0 -8-PORT 100/1000BASE-RJ45 PHYSICAL INTERFACE CARD,€164.3,$0.00,,,
HUAWEI,03030QBM,CR5D00C4CF71  4-Port Channelized STM-1c POS-SFP Physical Interface Card(PIC),€219.0,$0.00,,,
HUAWEI,03030QDP,CR51MPUK0 - MAIN PROCESSING UNIT,€219.0,$0.00,,,
HUAWEI,03030QEJ,IT0E01FAN000 OSCA Fan Unit,€115.0,$0.00,,,
HUAWEI,03030QFK,TN52ND2T04	Double 10G Line Service Processing Board(AFEC -Super WDM -Tunable) -50GHz(800ps/nm -Rx1_PIN -Tx1_-3dBm~+2dBm -LC) OSN 8800,€2 -464.3,$59 -150.52,,,
HUAWEI,03030QLV,TN15FIU01  Fiber Interface Board,€262.9,$0.00,,,
HUAWEI,03030QLW,TN16FIU01 Fiber Interface Board ,,,,,
HUAWEI,03030QLX,TN12RDU901 9-Port ROADM Splitting Board(C_Band),€328.6,$0.00,,,
HUAWEI,03030RAD,TNV1T130S01 30 ANY-RATE PORTS SERVICE PROCESSING BOARD OSN 9800,€2 -070.0,$0.00,,,
HUAWEI,03030RAD01,03030RAD,€0.0,$0.00,,,
HUAWEI,03030REL,NETENGINE40E -CR51L1XE8GF0 -1-PORT 10GBASE LAN/WAN-SFP+ + 8-PORT 100/1000BASE,,,,,
HUAWEI,03030REX,16 PORT PHYSICAL INTERFACE CARD,,,,,
HUAWEI,03030RFE,CR51NPU1200 - Network Processing Unit (NPU-120),,,,,
HUAWEI,03030RFQ,CR5D00PSUD71 DC Power Supply Unit 1600W,€109.5,$0.00,,,
HUAWEI,03030RGC,LE1D2G48TX1E,,,,,
HUAWEI,03030RJQ,CR5D08CWDM70 8-Channel CWDM Multiplexing & Demultiplexing (1471/1491/1511/1531/1551/1571/1591/1611nm) Physical Interface Card(PIC),€438.1,$0.00,,,
HUAWEI,03030RKM,MPWD - HUAWEI SmartAX MA5608T AC POWER B. ,,,,,
HUAWEI,03030RLG,X40,,,,,
HUAWEI,03030RRQ,TN56NS3T01 40Gbit/s Line Service Processing Board(ULH -HFEC -Coherent -Tunable,€0.0,$0.00,,,
HUAWEI,03030RSC,Universal Cross Connect /  TNF5UXCM01,,,,,
HUAWEI,03030RXB,OSN 9800 U16/U32/U64 2-port 100G Tributary Service Processing Board TNV1T402C01,,,,,
HUAWEI,03030RXG,TNV1T401C01|OPTIX OSN 9800 -TNV1T401C01 -1*100G TRIBUTARY SERVICE PROCESSING BOARD (CFP) BOARD,€1 -095.2,$0.00,,,
HUAWEI,03030SAF,TNRD00MPUK70 BOARD,€0.0,$0.00,,,
HUAWEI,03030SLK,C-BAND OPTIC AMPLI UNIT MAX OUT OPTION 21/22/23dBm,,,,,
HUAWEI,03030SVB,TN12STG01 - HUAWEI OptiX OSN 8800 Synchronous Timing Generation Board,€164.3,$0.00,,,
HUAWEI,03030SVJ,9-PORT WAVELENGTH SELECTIVE MULTIPLEX - DEMULTIPLEX,,,,,
HUAWEI,03030SVN,TN13OBU101 C-BAND Optical Booster Unit(MAX -4dBm IN and 16dBm OUT -Gain 20dB),€547.6,$0.00,,,
HUAWEI,03030SVP,TN13OBU103	C-BAND Optical Booster Unit(MAX -3dBm IN and 20dBm OUT -Gain 23dB),€985.7,$0.00,,,
HUAWEI,03030SVQ,TN13OBU104	C-BAND Optical Booster Unit(MAX -1dBm IN and 16dBm OUT -Gain 17dB),€821.4,$0.00,,,
HUAWEI,03030SVR,TN13OBU105	C-BAND Optical Booster Unit(MAX 0dBm IN and 23dBm OUT -Gain 23dB),€1 -369.0,$0.00,,,
HUAWEI,03030SVU,TN12MR8V01	8-Channel Optical Add/Drop Multiplexing Board with VOA(100GHz -192.1THz~192.8THz),,,,,
HUAWEI,03030SVX,HIGH PO UNIDIRECTIONAL OPTI SUPERVIS ,,,,,
HUAWEI,03030TTM,TN13WSMD401 4-Port Wavelength selective multiplexing and Demultiplexing board (C_Band -196.05THz~192.10THz -50GHz -LC),,,,,
HUAWEI,03030TTS,TN16WSM901 9-Port Wavelength Selective Switching Multiplexing Board(C_Band -196.05THz~192.10THz -50GHz -LC),,,,,
HUAWEI,03030TTT,TN16WSD901 9-Port Wavelength Selective Switching Demultiplexing Board(C_Band -196.05THz~192.10THz -50GHz -LC).,,,,,
HUAWEI,03030ULA,TNF2OBU01 C-BAND Optical Amplifier Unit(MAX -3dBm IN and 20dBm OUT -Gain 23dB -With EVOA),,,,,
HUAWEI,03030ULX,INTERLEAVER BOARD (C Band) TN11ITL06,,,,,
HUAWEI,03030URG,TNF1EMR801-Enhanced 8-ch Optical Add/Drop Multiplexing Board -100GHz(192.1/192.2/192.3/192.4/192.5/192.6/192.7/192.8THz).,€301.2,$0.00,,,
HUAWEI,03030UUD,FIBER INTERFACE BOARD (SINGLE FIU SUBCARD),,,,,
HUAWEI,03030UUP,03030UUP-TN96WSM9 OptiX OSN 8800,€0.0,$0.00,,,
HUAWEI,03030UUR,03030UUR-TN96WSD9 OptiX OSN 9800 U64,€0.0,$0.00,,,
HUAWEI,03030WEE,CR5D00L2XF71 2-Port 10GBase LAN/WAN-SFP+ Physical Interface Card(PIC),,,,,
HUAWEI,03030WLE,UNIVERSALCROSS CONNECT BOARD - TNV2XCS01,,,,,
HUAWEI,03030XEH,100GBIT/S LINE SERVICE PROCESSING BOARD(4*28G -700PS/NM -RX1~,,,,,
HUAWEI,03030XHX,03030XHX-CR52-P20-1x10GBase WAN/LAN-XFP,€0.0,$0.00,,,
HUAWEI,03030YCE,TN12RAU201. C-BAND Backward Raman and Erbium Doped Fiber Hybrid Optical Amplifier Unit(MAX -2dBm LINE IN and MAX 20dBm OUT.Gain 30~41dB for G.652).,€0.0,$122 -695.00,,,
HUAWEI,03030YHN,1-CHANNEL VARIABLE OPTICAL ATTENUATOR BOARD ,,,,,
HUAWEI,03030YHP,TN12MR8V01	8-Channel Optical Add/Drop Multiplexing Board with VOA(100GHz -192.1THz~192.8THz),€821.4,$122 -695.00,,,
HUAWEI,03030YSB,TNS1CTU01 SYSTEM CONTROL AND COMMUNICATION BOARD WITH CLOCK PROCESSING FUNCTION ,€273.8,$0.00,,,
HUAWEI,03031005,SS42SCB0,,,,,
HUAWEI,03031240,SS42OI2D01-S1.1/S1.1,,,,,
HUAWEI,03031242,S16,,,,,
HUAWEI,03031317,SQ1,,,,,
HUAWEI,03031323,SS42SP1D01,,,,,
HUAWEI,03031523,SL4,,,,,
HUAWEI,03031612,SD1,,,,,
HUAWEI,03031649,SS420I2S01-S1.1,,,,,
HUAWEI,03031651,SS42OI2S03-L1.1,,,,,
HUAWEI,03031652,SS42OI2S04-L1.2,,,,,
HUAWEI,03031653,SS42OI2D02-L1.1/L1.1,,,,,
HUAWEI,03031654,SS42OI2D03-L1.2/L1.2,,,,,
HUAWEI,03031674,SD1,,,,,
HUAWEI,03031675,SD4,,,,,
HUAWEI,03031686,SS42PD2TB01,,,,,
HUAWEI,03031688,SS42PD2SB01,,,,,
HUAWEI,03031836,EIPC,,,,,
HUAWEI,03031925,XCS,,,,,
HUAWEI,03031ABK,LSC-TN15LSCT61,,,,,
HUAWEI,03031ACY,NPU-420,,,,,
HUAWEI,03031DJM,CR5D00L4XF72,,,,,
HUAWEI,03031DJR,CR5D00EAGF70 10-Port 100/1000Base-X-SFP Physical Interface Card(PIC),€136.9,$0.00,,,
HUAWEI,03031DJS,0,,,,,
HUAWEI,03031FGJ,TNU3N401T61 1*100G Line Service Processing Board (ULH -SDFEC2 -wDCM -Coherent -Tunable -50GHz -LC),€4 -381.0,$0.00,,,
HUAWEI,03031FXM,TNF3SCC01 System Control & Communication Board with OSC,,,,,
HUAWEI,03031GGW,100Gbit/s LINE SERVICE PROCESS BOARD (LH -SDFEC2 -,,,,,
HUAWEI,03031GGX,TN58NS4T61 100Gbit/s Line Service Processing Board(ULH -SDFEC2 -wDCM - Coherent -Tunable -50GHz -LC).,€0.0,$0.00,,,
HUAWEI,03031JLY,N401P,,,,,
HUAWEI,03031KBG,TN11SRAU02_MAX -7dBm LINE IN and MAX 20dBm OUT - Gain 22~30dB for G.652),,,,,
HUAWEI,03031LMU,TN13FIU03 Fiber Interface Board,€273.8,$0.00,,,
HUAWEI,03031LRW,100GBIT/S WAVELENGTH CONVERSION BOARD (METRO -4*28G -192.1/ ),,,,,
HUAWEI,03031LVL,BAS1,,,,,
HUAWEI,03031MXR,GM5D0GTMUC00  Main Control and Transport unit(4E1&1 electrical FE/GE &1 optical FE/GE).,€172.5,$0.00,,,
HUAWEI,03031QAM,20-ports flexible and tunable wavelength multiplexing board (C_Band -192.05~196.075THz -37.5GHz~400GHz),€0.0,$408 -556.00,,,
HUAWEI,03031RGC,TN12RAU201E  - C-BAND Backward Raman and Erbium Doped Fiber Hybrid Optical Amplifier Unit(MAX -2dBm LINE IN and MAX 20dBm OUT -Gain 30~41dB for G.652 -with fiber monitor interface),€3 -000.0,,,,
HUAWEI,03031SYK,C-BAND FIB HYBR OPTI AMPLI UNI (MAX 1dBm LINE IN,,,,,
HUAWEI,03031TWN,"TN51HBA01 Extended C-Band High-power Booster Amplifier Board.
",€0.0,$153 -470.00,,,
HUAWEI,03031YTS,03031YTS-LSC BOARD TNF1LSCT65,€0.0,$0.00,,,
HUAWEI,03031YXT-,03031YXT,,,,,
HUAWEI,03031YXT,SYSTEM CONTROL & COMM BOARD WITH OSC (TNF3SCC03),,,,,
HUAWEI,03031YXX,TNV3T210 10*10G Tributary Service Processing Board,€547.6,$153 -470.00,,,
HUAWEI,03032184,SS42OI4A02-S4.1,,,,,
HUAWEI,03032241,SCC ,,,,,
HUAWEI,03032262,SS43SCB01,,,,,
HUAWEI,03032351,PQ1,,,,,
HUAWEI,03032448,SS42SP2B01,,,,,
HUAWEI,03032790,AEOW,,,,,
HUAWEI,03032798,ASCC,,,,,
HUAWEI,03032808,ASTI,,,,,
HUAWEI,03032823,ATPR,,,,,
HUAWEI,03032824,EU08,,,,,
HUAWEI,03032827,SP08,,,,,
HUAWEI,03032832,SLQ4,,,,,
HUAWEI,03032879,ACOM,,,,,
HUAWEI,03032BXT,TNF1C1CFPT65 100G CFPT65(Metro -SDFEC2 -Coherent wDCM -Tunable -expanded C Band --3dBm-2dBm --18dBm -50GHz -LC),,,,,
HUAWEI,03032KCL,TNV3T401C21 1*100G TRIBUTARY SERVICEPROCESSING BOARD - OSN 9800,€1 -095.2,$0.00,,,
HUAWEI,03032PBE,0,,,,,
HUAWEI,03032RGM,H901 - GPLF,,,,,
HUAWEI,03032VAA,TN52WSMD901 9-Port flexible Wavelength selective multiplexing and Demultiplexing board(Extended C_Band -191.25~196.075THz -37.5GHz~400GHz -Support WD),,,,,
HUAWEI,03032VNA,TN12C1CFPT61 100G CFPT61(ULH -SDFEC2 -Coherent wDCM -Tunable -Extended C Band --5dBm --1dBm --16dBm -Fixed),€0.0,$0.00,,,
HUAWEI,03032WRN,03032WRN-OXCFP CARD OSN 9800 P32 ,€0.0,$0.00,,,
HUAWEI,03032WRR,03032WRR-TMP1OXCFP03 CARD OSN9800 P32 ,€0.0,$0.00,,,
HUAWEI,03032WSW,48 PORT 100/1000 BASE-X INTERFACE CARD,,,,,
HUAWEI,03032YHC,TN12C2CFPT23 200G CFPT23(LHD - SDFEC2@200G e16QAM/100G QPSK/etc. -flex rate - Coherent -Tunable -Extended C Band --5dBm-0dBm --16dBm -Flexgrid),€0.0,$0.00,,,
HUAWEI,03032YKG,GPUF - H901GPUF,,,,,
HUAWEI,03032YVW,TNF3C1CFPT61 100G CFPT61(ULH -SDFEC2 -Coherent wDCM -Tunable -Extended C Band --10dBm-4dBm --18dBm -Fixed).,€0.0,$0.00,,,
HUAWEI,03032YYG,TN17M40V01 40-Channel Multiplexing Board,,,,,
HUAWEI,03033145,ABPA,,,,,
HUAWEI,03033738,LPU - 1000BASE-GBIC,,,,,
HUAWEI,03033839,SL64,,,,,
HUAWEI,03033926,XCS,,,,,
HUAWEI,03033991,SSE1SCC01 System Control&Communication Board,€0.0,$0.00,,,
HUAWEI,03033AKL,TN17D4001 40-channel Demultiplexing Board,,,,,
HUAWEI,03033BST,TN55OPM801	8 channel flexible bandwidth optical power monitor board,€1 -861.9,$0.00,,,
HUAWEI,03033BTE,S9306/S9312 Main Control Unit H (A1),,,,,
HUAWEI,03033CSN,TN17M40V01 40-Channel Multiplexing Board With VOA(C_Even -196.00THz~192.10THz -100GHz -LC),,,,,
HUAWEI,03033CSP,TN17M40V02 40-Channel Multiplexing Board With VOA(C_Odd -196.05THz~192.15THz -100GHz -LC),,,,,
HUAWEI,03033CSQ,TN17D4001 40-channel Demultiplexing Board(C Even -196.00THz~192.10THz -100GHz -Thermal AWG -LC),,,,,
HUAWEI,03033CSR,TN17D400240-channel Demultiplexing Board(C_Odd -196.05THz~192.15THz -100GHz -Thermal AWG -LC),,,,,
HUAWEI,03033EVH,GPON 16 PORTS H901GPSF,,,,,
HUAWEI,03033FJC,TNG3D4801 48-Channel Demultiplexing Board( Extended C_even -196.0THz~191.3THz -100GHz -Thermal AWG).,€0.0,$0.00,,,
HUAWEI,03033FNP,TNG2UM4002	40-channel Multiplexing Board(Super C_odd - 196.6375THz~190.7875THz - - 150GHz - Thermal AWG) OSN 9800,,,,,
HUAWEI,03033FNR,TNG2UD4002	40-channel Demultiplexing Board(Super C_odd - 196.6375THz~190.7875THz - 150GHz - Thermal AWG),,,,,
HUAWEI,03033FTV,TNG3CXP01	Universal Cross Connect -System Control and Clock Processing Board OptiX OSN 9800 M24,€1 -916.7,$48 -300.00,,,
HUAWEI,03033FUW,200 G CFP2 DWDM  tunable module  OSN 9800/9600 chassis,,,,,
HUAWEI,03033FXE,10-port 100/1000Base-X-SFP MACsec Physical Interface Card(PIC).,€1 -400.0,$10 -000.00,,,
HUAWEI,03033GDR,0,,,,,
HUAWEI,03033GMA,R2CXPA Processing Board,,,,,
HUAWEI,03033GRW,0,,,,,
HUAWEI,03033HCK,TMB1LDX01  2X10GB/S Wavelength Conversion Board NE40E-X3A,,,,,
HUAWEI,03033HED,TNS7N502C01 Programmable 2x200G/100G Hybrid Board,,,,,
HUAWEI,03033JNE,0,,,,,
HUAWEI,03033LAH,CR5D0EFGFM70 24 port 100 / 1000Base-X-SFP MACSEC flexible card (P53) NE40E-X3A,€492.9,$0.00,,,
HUAWEI,03033QQL,200 G CFP2 DWDM tunable module for OSN 9800/9599 chassis,,,,,
HUAWEI,03033REW,K1UNQ2     TMK1UNQ201,,,,,
HUAWEI,03033TBC,TMP2CTU02 SYSTEM CONTROL AND COMMUNICATION BOARD WITH CLOCK PROCESSING FUNCTION ,,,,,
HUAWEI,03033YXS,4*100G or 1*400G Multiplexing Into 1*200G1400G ProgrammableTMN1MS04T3701 Wavelength Conversion Board(SDFEC2 -Coherent -superC -Tunable -Flex)(Short Distance),,,,,
HUAWEI,03033VFQ,OPTICAL CARD OXC 32 DEGREE *32-PORTS ADD AND DROP COLORLESS TMP2OT3232N01,,,,,
HUAWEI,03033VGS,OXC 32D OPTICAL LINE BOARD TMP2ON32S01,,,,,
HUAWEI,03034021,FPIU,,,,,
HUAWEI,03034031,SS44PD2DB01,,,,,
HUAWEI,03034032,SS44PD2SB01,,,,,
HUAWEI,03034033,PMCU,,,,,
HUAWEI,03034035,SS44PD2TB01,,,,,
HUAWEI,03034051,APIU,,,,,
HUAWEI,03034052,OI4,,,,,
HUAWEI,03034054,OI4,,,,,
HUAWEI,03034096,SD4,,,,,
HUAWEI,03034284,SS44SP1B01,,,,,
HUAWEI,03034606,BPIU,,,,,
HUAWEI,03034701,XCS,,,,,
HUAWEI,03034811,EXCL,,,,,
HUAWEI,03034869,SCC,,,,,
HUAWEI,03034871,OI4,,,,,
HUAWEI,03034KHJ,K3SLNO    TMK3SLNO01,,,,,
HUAWEI,03035165,S16,,,,,
HUAWEI,03035302,BPIU,,,,,
HUAWEI,03035553,SS-GXCSA-7500 General Cross-connect and S,€109.5,$0.00,,,
HUAWEI,03036278,DM12,,,,,
HUAWEI,03036347,CTPT,,,,,
HUAWEI,03036394,XCS1,,,,,
HUAWEI,03036439,GXCSA,,,,,
HUAWEI,03036449,SP2,,,,,
HUAWEI,03036466,SCC,,,,,
HUAWEI,03036486,FSCC,,,,,
HUAWEI,03036508,AMXS,,,,,
HUAWEI,03036520,AUX,,,,,
HUAWEI,03036618,TN11AUX01 System Auxiliary Interface Board 8800-3500,€273.8,$0.00,,,
HUAWEI,03036752,CR52L2XXN0 NETENGINE40E  - 2-PORT10GBASE LAN-WAN-XFP FLEXIBLE CARD P40,€109.5,$0.00,,,
HUAWEI,03036787,EFS0,,,,,
HUAWEI,03036884,EFSO,,,,,
HUAWEI,03036885,H565ADBF1,,,,,
HUAWEI,03036944,SL4,,,,,
HUAWEI,03036945,SS42EFS01,,,,,
HUAWEI,03036967,P40-20xGE/FE-SFP,,,,,
HUAWEI,03037064,GSCC,,,,,
HUAWEI,03037070,CR5M0EEGFA20 20-Port 100/1000Base-X-SFP Flexible Card A(P40-A.Supporting 1588v2) NE40E-X16,€2 -738.1,$0.00,,,
HUAWEI,03037098,SSN1AU01 -SSN1AUX System Auxiliary Interface Board OSN 3500,€164.3,$0.00,,,
HUAWEI,03037105,PL1D,,,,,
HUAWEI,03037106,SCC,,,,,
HUAWEI,03037127,SS-PL3 3xE3/T3 Service Processing Board,€109.5,$0.00,,,
HUAWEI,03037134,EFS4,,,,,
HUAWEI,03037316,OPTIX OSN TRIBUTARY BOARD - 63XE1,,,,,
HUAWEI,03037342,SL16A,,,,,
HUAWEI,03037345,PD 3 - SSN1PD301,,,,,
HUAWEI,03037372,SL16A - SSN1SL16A01-116,,,,,
HUAWEI,03037374,SL16A,,,,,
HUAWEI,03037375,SL16A,,,,,
HUAWEI,03037376,SL16A,,,,,
HUAWEI,03037378,SL16,,,,,
HUAWEI,03037390,SLQ4 - SSN1SLQ401,,,,,
HUAWEI,03037391,OptiX OSN 3500 -SSN1SEP101 -8xSTM-1 Signal Process Board,€602.4,$0.00,,,
HUAWEI,03037408,SS-PQ1(120) 63xE1 Service Processing Board,€0.0,$0.00,,,
HUAWEI,03037422,WBA,,,,,
HUAWEI,03037445,FIU,,,,,
HUAWEI,03037463,BTS3012  - GM51DEMU0  - ENVIRONMENT MONITORING UNIT BOARD,€142.4,$0.00,,,
HUAWEI,03037479,SCC,,,,,
HUAWEI,03037489,SAP,,,,,
HUAWEI,03037490,CXL16 - SSQ1CXL1602-S16.1,,,,,
HUAWEI,03037493,CXL16,,,,,
HUAWEI,03037555,PD1 / OPTIX OSN,,,,,
HUAWEI,03037556,AUX,,,,,
HUAWEI,03037557,OPTIX OSN 1500  - SSR1EOW01  - ENGINEERING ORDER WIRE BOARD,€109.5,$0.00,,,
HUAWEI,03037565,SLE,,,,,
HUAWEI,03037673,SCC SSC6SCC01,,,,,
HUAWEI,03037691,EFT8 - SSN1EFT801,,,,,
HUAWEI,03037692,OptiX OSN 3500  - SSN1SL6401  - STM-64 Optical Interface Board ,€547.6,$0.00,,,
HUAWEI,03037843,JSCC,,,,,
HUAWEI,03037854,SSN2SLO101 - OPTICAL INTERFACE BOARD,€87.6,$0.00,,,
HUAWEI,03037886,PMU SSC6PMU01,,,,,
HUAWEI,03037975,CXL16,,,,,
HUAWEI,03037976,CXL16,,,,,
HUAWEI,03038317,SS46SCBB01-16E12S11,,,,,
HUAWEI,03038318,SS46SCBD01-16E12S41,,,,,
HUAWEI,03038327,SS46SCBG01,,,,,
HUAWEI,03038332,SL1 - SSR1SL101,,,,,
HUAWEI,03038334,SSR1SLQ101  6-Port 100GE QSFP28 Interface BOARD (X6E - QSFP28,€219.0,$0.00,,,
HUAWEI,03038341,ULTRA-CONNECT & SYNCHRONOUS,,,,,
HUAWEI,03038461,CR53-LPUF-10 Flexible Card Line Processing Unit(LPUF-10 -four slots) NE40E-X16,€547.6,$0.00,,,
HUAWEI,03038466,NetEngine40 ECR5M0L2XXA20 2-Port 10GBase LAN/WAN-XFP Flexible Card A(P40-A.Supporting 1588v2),,,,,
HUAWEI,03038467,OAU,,,,,
HUAWEI,03038470,OPU,,,,,
HUAWEI,03038471,OBU,,,,,
HUAWEI,03038473,OAU,,,,,
HUAWEI,03038474,OBU,,,,,
HUAWEI,03038475,ETHRNT INTFC BD,,,,,
HUAWEI,03038480,SSR2AUX -System Auxiliary Interface Board - OptiX OSN 1500,€54.8,$0.00,,,
HUAWEI,03038490,FIU (SSC6FIU01),,,,,
HUAWEI,03038927,EGS2,,,,,
HUAWEI,03038930,GSPC,,,,,
HUAWEI,03038942,OAU,,,,,
HUAWEI,03038943,OAU,,,,,
HUAWEI,03039006,SSR1EFT401 OSN 1500 Electrical Interface Board,€547.6,$0.00,,,
HUAWEI,03039014,EGS2,,,,,
HUAWEI,03039021,GSCC,,,,,
HUAWEI,03039079,OptiX OSN 1500  - SSR1PL1B01  - 16xE1 Service Processing Board (120ohm),€328.6,$0.00,,,
HUAWEI,03039181,SC1,,,,,
HUAWEI,03039190,TC2,,,,,
HUAWEI,03039200,EGT2,,,,,
HUAWEI,03039204,TN81EG1601 - 16-PORT PROCESSING ETHERNET CARD|OPTIX PTN 3900,€711.9,$0.00,,,
HUAWEI,03039211,GSCC,,,,,
HUAWEI,03039263,SSN2SL6411-I-64.2,,,,,
HUAWEI,03039289,TN7D000PIU00 Power Interface Board PTN 1900,€86.3,$840.00,,,
HUAWEI,03039534,SS63S16A02-S-16.1 (S16),,,,,
HUAWEI,03039927,PL3A - SSN1PL3A01,,,,,
HUAWEI,03039978,SSE3OPUC03C C-BAND Optical Pre-Amplifier 23DB GAIN  - 15DBM OUT,€547.6,$0.00,,,
HUAWEI,03039985,OAU,,,,,
HUAWEI,0303EAD1,EFS4 - SSN2EFS401,,,,,
HUAWEI,0303ESLW,PQ1 - SSN2PQ1B01,,,,,
HUAWEI,03050509,ULAN,,,,,
HUAWEI,03050579,UBIU,,,,,
HUAWEI,03050614,1x Optical Interface Module (SL1) ,,,,,
HUAWEI,03050615,SL1,,,,,
HUAWEI,03050622,CLX1,,,,,
HUAWEI,03050626,SLQ1,,,,,
HUAWEI,03050627,SLQ1 ,,,,,
HUAWEI,03050634,SL4,,,,,
HUAWEI,03050635,SL4,,,,,
HUAWEI,03050642,CXL4,,,,,
HUAWEI,03050646,SLD4,,,,,
HUAWEI,03050647,SLD4,,,,,
HUAWEI,03050648,SLD4,,,,,
HUAWEI,03050654,4x Optical Interface Module (SLQ4),,,,,
HUAWEI,03050656,SLQ4,,,,,
HUAWEI,03050657,SLQ4,,,,,
HUAWEI,03050658,SSN2SLQ410,€273.8,$0.00,,,
HUAWEI,03050688,CXL4,,,,,
HUAWEI,03050689,CXL4,,,,,
HUAWEI,03050691,CXL4,,,,,
HUAWEI,03050793,SLQ1 // OPTIX OSN 1500  - SSR1SLQ110  - 4XSTM-1 OPTICAL INTERFACE BOARD,,,,,
HUAWEI,03050799,SL4,,,,,
HUAWEI,03050802,SLD4,,,,,
HUAWEI,03050827,UPIU,,,,,
HUAWEI,03050840,EGS2 - SSN2EGS211,,,,,
HUAWEI,03050852,EGT2 - SSN1EGT211,,,,,
HUAWEI,03050871,8-port 10/100M BaseF Ethernet Interface Module ,,,,,
HUAWEI,03050954,CXL4,,,,,
HUAWEI,03050970,SLT1,,,,,
HUAWEI,03050980,CXL4,,,,,
HUAWEI,03050984,SSQ2CXL1 OPTIX OSN 2500 STM 1 SYSTEM CONTROL CROSS CONNECT OPTICAL INTERFACE,€109.5,$0.00,,,
HUAWEI,03050985,CXL1 - SSQ2CXL111,,,,,
HUAWEI,03050986,CXL1,,,,,
HUAWEI,03050AAL,UBBPG1,,,,,
HUAWEI,03050BYF,UBBPG1A,,,,,
HUAWEI,03050FBV,UMPTb6,,,,,
HUAWEI,03050FQJ,CR5DLPUFME73 Flexible Card Line Processing Unit E (LPUF-485-E) ) ,€2 -190.5,$0.00,,,
HUAWEI,03050GVR,SL95CSHUF01 TDM-HYBRID-PACKET LARGE CAPACITY SYSTEM CONTROL AND CROSS-CONNECT BOARD,,,,,
HUAWEI,03051075,UALU,,,,,
HUAWEI,03051116,PARC WP11GCUA GENERAL CLOCK BOARD Rev.A,€391.0,$0.00,,,
HUAWEI,03051117,SCUa,€0.0,$0.00,,,
HUAWEI,03051118,PARC WP11TNUA SWITCHING NETWORK BOARD REV:A ,€569.5,$0.00,,,
HUAWEI,03051119,WP11XPUa XPUa Extensible Processing Unit,€0.0,$0.00,,,
HUAWEI,03051121,PARC WP11EIUA 32-PORT E1-T1 CIRCUIT INTERFACE UNIT REV:A,€427.1,$0.00,,,
HUAWEI,03051122,PARC WP11OIUA 1 PORT CHANNELIZED OPTICAL INTERFACE UNIT REV A,€533.4,$0.00,,,
HUAWEI,03051249,SSN1EGS4  -  4-port Gigabit Ethernet Switching Processing Board,,,,,
HUAWEI,03051250,EGS4 Board SSN1EGS412,€109.5,$0.00,,,
HUAWEI,03051253,EMS4,,,,,
HUAWEI,03051334,OSN 1500B SSN2SLO1 (S-1.1 -LC) 8 XSTM - 1 BOARD,€164.3,$0.00,,,
HUAWEI,03051388,UG02FVPD1,,,,,
HUAWEI,03051485,AOUa,,,,,
HUAWEI,03051488,BSC 33 FG2a FG2A = PACKET OVER  8-PORT FE OR 2-PORT,€0.0,$0.00,,,
HUAWEI,03051492,PARC WP11UOIA 4-PORT ATM-PACK ET OVER UNCHANNELIZED OPTICAL STM-1-OC-3,€925.5,$0.00,,,
HUAWEI,03051493,PARC WP11GOUA 2-PORT PACKET OVER OPTICAL GE ETHERNET INTERFACE REV:A,€657.1,$0.00,,,
HUAWEI,03051551,PARC WP11OMUb Operation and Maintenance Unit REV:b,€219.0,$0.00,,,
HUAWEI,03051576,CX61-SFUD,,,,,
HUAWEI,03051730,WP11SPUa  SIGNALING PROCESSING UNIT REV:A,€569.5,$0.00,,,
HUAWEI,03051746,CN21USI1,€32.9,$0.00,,,
